d,q,gamma,diamond_norm,trace_distance_for_|0>,trace_distance_for_|1>,trace_distance_for_|+>,trace_distance_for_|->,trace_distance_for_mixed_state,p_success,max_random_probe_trace_norm,shared_p,p
7.300000000000000e-02,7.300000000000000e-02,7.300000000000000e-02,7.105333333333332e-03,7.105333333333318e-03,7.105333333333436e-03,7.105333333333352e-03,7.105333333333352e-03,7.105333333333574e-03,5.017763333333334e-01,7.105333333333574e-03,True,7.300000000000000e-02
7.400000000000000e-02,7.400000000000000e-02,7.400000000000000e-02,7.301333333333332e-03,7.301333333333361e-03,7.301333333333382e-03,7.301333333333326e-03,7.301333333333326e-03,7.301333333333604e-03,5.018253333333333e-01,7.301333333333495e-03,True,7.400000000000000e-02
7.500000000000000e-02,7.500000000000000e-02,7.500000000000000e-02,7.500000000000000e-03,7.500000000000027e-03,7.499999999999798e-03,7.500000000000007e-03,7.500000000000007e-03,7.500000000000062e-03,5.018750000000000e-01,7.500000000000506e-03,True,7.500000000000000e-02
7.600000000000000e-02,7.600000000000000e-02,7.600000000000000e-02,7.701333333333333e-03,7.701333333333331e-03,7.701333333333352e-03,7.701333333333282e-03,7.701333333333282e-03,7.701333333333393e-03,5.019253333333333e-01,7.701333333333728e-03,True,7.600000000000000e-02
7.700000000000000e-02,7.700000000000000e-02,7.700000000000000e-02,7.905333333333334e-03,7.905333333333382e-03,7.905333333333500e-03,7.905333333333320e-03,7.905333333333320e-03,7.905333333333320e-03,5.019763333333334e-01,7.905333333333625e-03,True,7.700000000000000e-02
7.800000000000000e-02,7.800000000000000e-02,7.800000000000000e-02,8.111999999999999e-03,8.111999999999946e-03,8.112000000000050e-03,8.111999999999842e-03,8.111999999999842e-03,8.111999999999842e-03,5.020280000000000e-01,8.112000000000452e-03,True,7.800000000000000e-02
7.900000000000000e-02,7.900000000000000e-02,7.900000000000000e-02,8.321333333333333e-03,8.321333333333361e-03,8.321333333333347e-03,8.321333333333292e-03,8.321333333333292e-03,8.321333333333514e-03,5.020803333333334e-01,8.321333333333680e-03,True,7.900000000000000e-02
8.000000000000000e-02,8.000000000000000e-02,8.000000000000000e-02,8.533333333333334e-03,8.533333333333309e-03,8.533333333333074e-03,8.533333333333337e-03,8.533333333333337e-03,8.533333333333337e-03,5.021333333333333e-01,8.533333333333559e-03,True,8.000000000000000e-02
8.100000000000000e-02,8.100000000000000e-02,8.100000000000000e-02,8.748000000000001e-03,8.747999999999992e-03,8.747999999999978e-03,8.747999999999923e-03,8.747999999999923e-03,8.748000000000202e-03,5.021870000000001e-01,8.748000000000311e-03,True,8.100000000000000e-02
8.200000000000000e-02,8.200000000000000e-02,8.200000000000000e-02,8.965333333333334e-03,8.965333333333304e-03,8.965333333333381e-03,8.965333333333103e-03,8.965333333333103e-03,8.965333333333325e-03,5.022413333333333e-01,8.965333333333686e-03,True,8.200000000000000e-02
8.300000000000000e-02,8.300000000000000e-02,8.300000000000000e-02,9.185333333333335e-03,9.185333333333358e-03,9.185333333333129e-03,9.185333333333379e-03,9.185333333333379e-03,9.185333333333490e-03,5.022963333333333e-01,9.185333333333712e-03,True,8.300000000000000e-02
8.400000000000001e-02,8.400000000000001e-02,8.400000000000001e-02,9.408000000000001e-03,9.408000000000041e-03,9.407999999999833e-03,9.408000000000194e-03,9.408000000000194e-03,9.408000000000083e-03,5.023520000000000e-01,9.408000000000361e-03,True,8.400000000000001e-02
8.500000000000001e-02,8.500000000000001e-02,8.500000000000001e-02,9.633333333333336e-03,9.633333333333355e-03,9.633333333333216e-03,9.633333333333272e-03,9.633333333333272e-03,9.633333333333438e-03,5.024083333333333e-01,9.633333333333605e-03,True,8.500000000000001e-02
8.599999999999999e-02,8.599999999999999e-02,8.599999999999999e-02,9.861333333333331e-03,9.861333333333305e-03,9.861333333333333e-03,9.861333333333167e-03,9.861333333333167e-03,9.861333333333167e-03,5.024653333333333e-01,9.861333333333666e-03,True,8.599999999999999e-02
8.699999999999999e-02,8.699999999999999e-02,8.699999999999999e-02,1.009200000000000e-02,1.009200000000000e-02,1.009200000000021e-02,1.009199999999982e-02,1.009199999999982e-02,1.009199999999988e-02,5.025230000000001e-01,1.009200000000032e-02,True,8.699999999999999e-02
8.799999999999999e-02,8.799999999999999e-02,8.799999999999999e-02,1.032533333333333e-02,1.032533333333330e-02,1.032533333333330e-02,1.032533333333319e-02,1.032533333333319e-02,1.032533333333324e-02,5.025813333333333e-01,1.032533333333363e-02,True,8.799999999999999e-02
