p,scenario,trial,seed,n_transmissions,sifted_bits,qber,reference_qber,difference_from_reference
0.06,single,3,1318256191,1000,496,0.03024193548387097,0.04000000000000005,-0.00975806451612908
0.06,single,4,4063598728,1000,460,0.0391304347826087,0.04000000000000005,-0.0008695652173913507
0.06,single,5,414458742,1000,509,0.05304518664047151,0.04000000000000005,0.013045186640471461
0.06,single,6,3284276456,1000,487,0.028747433264887063,0.04000000000000005,-0.011252566735112986
0.06,single,7,4158369656,1000,500,0.05,0.04000000000000005,0.009999999999999953
0.06,single,8,3575130850,1000,527,0.028462998102466792,0.04000000000000005,-0.011537001897533258
0.06,single,9,1145883681,1000,504,0.03968253968253968,0.04000000000000005,-0.00031746031746036907
0.06,single,10,1717942058,1000,484,0.03305785123966942,0.04000000000000005,-0.006942148760330627
0.06,single,11,2798695254,1000,503,0.039761431411530816,0.04000000000000005,-0.00023856858846923318
0.06,single,12,1405341360,1000,526,0.04752851711026616,0.04000000000000005,0.007528517110266107
0.06,single,13,3204888994,1000,465,0.034408602150537634,0.04000000000000005,-0.005591397849462415
0.06,single,14,2932886749,1000,505,0.04356435643564356,0.04000000000000005,0.003564356435643512
0.06,single,15,147223086,1000,509,0.05304518664047151,0.04000000000000005,0.013045186640471461
0.06,single,16,848624507,1000,497,0.04627766599597585,0.04000000000000005,0.0062776659959758035
0.06,single,17,3375868616,1000,503,0.039761431411530816,0.04000000000000005,-0.00023856858846923318
0.06,single,18,3888287494,1000,483,0.043478260869565216,0.04000000000000005,0.0034782608695651668
0.06,single,19,549876293,1000,520,0.04230769230769231,0.04000000000000005,0.0023076923076922606
0.06,single,20,3117904464,1000,515,0.04660194174757282,0.04000000000000005,0.006601941747572768
0.06,single,21,1281364389,1000,506,0.02766798418972332,0.04000000000000005,-0.01233201581027673
0.06,single,22,2441438376,1000,513,0.04483430799220273,0.04000000000000005,0.004834307992202677
0.06,single,23,1698529507,1000,519,0.036608863198458574,0.04000000000000005,-0.003391136801541475
0.06,single,24,910279604,1000,509,0.03339882121807466,0.04000000000000005,-0.006601178781925392
0.06,single,25,1914854570,1000,485,0.03505154639175258,0.04000000000000005,-0.004948453608247472
0.06,single,26,2393556378,1000,498,0.05220883534136546,0.04000000000000005,0.01220883534136541
0.06,single,27,1000378649,1000,500,0.042,0.04000000000000005,0.001999999999999953
0.06,single,28,1680583933,1000,511,0.033268101761252444,0.04000000000000005,-0.006731898238747605
0.06,single,29,2643856899,1000,494,0.02834008097165992,0.04000000000000005,-0.01165991902834013
0.06,single,30,2378525420,1000,496,0.038306451612903226,0.04000000000000005,-0.001693548387096823
0.06,single,31,2636365107,1000,473,0.040169133192389,0.04000000000000005,0.00016913319238895386
0.06,single,32,486919383,1000,494,0.048582995951417005,0.04000000000000005,0.008582995951416955
0.06,single,33,406506161,1000,472,0.036016949152542374,0.04000000000000005,-0.003983050847457675
0.06,single,34,900468070,1000,536,0.05037313432835821,0.04000000000000005,0.01037313432835816
0.06,single,35,3123887782,1000,473,0.052854122621564484,0.04000000000000005,0.012854122621564434
0.06,single,36,383038800,1000,502,0.037848605577689244,0.04000000000000005,-0.0021513944223108053
0.06,single,37,2702129789,1000,492,0.032520325203252036,0.04000000000000005,-0.0074796747967480134
0.06,single,38,1385547827,1000,488,0.0430327868852459,0.04000000000000005,0.0030327868852458514
0.06,single,39,3926479446,1000,517,0.03481624758220503,0.04000000000000005,-0.005183752417795021
0.06,single,40,1232446383,1000,514,0.03696498054474708,0.04000000000000005,-0.003035019455252967
0.06,single,41,2188518490,1000,517,0.03481624758220503,0.04000000000000005,-0.005183752417795021
